regime,trajectory_id,teacher_forced_final_l2,autoregressive_final_l2,persistence_final_l2,feedback_ratio,ar_relative_mass_error,ar_signed_mass_drift,ar_accumulated_absolute_mass_change,ar_negative_fraction,ar_negative_mass_fraction,ar_minimum,ar_maximum
id_test,51,0.02917965903325319,0.2091421745751841,1.0893616115749547,7.167396107570871,0.09541414906683962,0.09541414906683962,0.09541414906683962,0.00146484375,4.452917402474611e-06,-0.0003195321024836023,0.9963572815767648
id_test,16,0.03375323366863113,0.2701528205725273,0.7470806404855157,8.00376115736716,0.10447197844329302,-0.10447197844329302,0.10447197844329302,0.050537109375,0.0002771477686313703,-0.003047063047655979,1.1608182793610764
id_test,49,0.019762583161881685,0.16211743607297693,0.8813469243166019,8.203251302981032,0.05659636340727698,-0.05659636340727687,0.05699455954822983,0.077880859375,0.0007662839930202954,-0.004563353213110008,1.1185440416003594
id_test,17,0.009804586522889293,0.06399939562585652,0.7254634527855239,6.527495624261845,0.0023470529417681215,-0.002347052941768001,0.039898378550583376,0.11962890625,0.001513673535409125,-0.002873641580400585,0.8330539805362199
id_test,40,0.020982044999826057,0.17685101186987714,0.5614463548081825,8.428683279982636,0.07900298555065258,-0.07900298555065241,0.07900298555065241,0.059326171875,0.0004488466961167784,-0.004504418272647109,1.3865398313522856
id_test,47,0.02453878719530091,0.189089583747391,1.109644427654868,7.705742840607908,0.05855576244174833,-0.0585557624417481,0.09421773868677949,0.08203125,0.001105194843856273,-0.0017983807514501127,0.7461282845911407
id_test,22,0.024538240735700437,0.17074664317389923,0.3215760487565121,6.958389764490397,0.09998148298339017,-0.09998148298339005,0.09998148298339005,0.0009765625,6.3811181287617e-07,-0.00023549576289072505,1.2376897699271197
id_test,28,0.017282217143519175,0.1286209151490141,0.6880720420276148,7.442385087566551,0.15868132076448058,0.15868132076448035,0.15868132076448035,0.081298828125,0.001374029187937847,-0.0014527732325564507,0.8892473091236706
fresh_id,0,0.023841412462928546,0.1242572408295395,0.7653805047115145,5.211823797048492,0.19103623765762548,-0.19103623765762548,0.19103623765762548,0.587890625,0.035738790009799376,-0.005509653498208131,0.5813265086398933
fresh_id,1,0.009188807183220526,0.062234380293207284,1.142279680139022,6.772846469871746,0.003790955730454835,0.0037909557304549686,0.037009819120195256,0.35498046875,0.009317584041523198,-0.002879271144746856,0.617413925378134
fresh_id,2,0.020246527062609296,0.1330670344105962,0.5817233807040866,6.572338752177433,0.0667443786791238,-0.0667443786791238,0.0667443786791238,0.33447265625,0.006725599941519743,-0.0049803340615208885,0.8161212056219949
fresh_id,3,0.03402493243628321,0.25544026090796906,0.832660019144934,7.507443589677048,0.1119651130620523,-0.11196511306205244,0.11196511306205244,0.154296875,0.0024434893411900997,-0.009421807632075133,1.0958059925459593
fresh_id,4,0.02293963644235606,0.17996228734222594,0.7604998985219544,7.845036593951467,0.010007771239458176,0.010007771239458176,0.010007771239458176,0.013427734375,6.703060397861551e-05,-0.0019979986453143167,1.0219341472535763
fresh_id,5,0.00996111273297362,0.09776726379972571,0.5978834043282112,9.81489381965261,0.009548332718116692,0.009548332718116692,0.009548332718116692,0.156494140625,0.00211188151313384,-0.0044329326326192214,1.318163395501198
fresh_id,6,0.009488719956052858,0.06132415242713362,0.8975967818377628,6.462847750925025,0.02025020177319299,0.02025020177319312,0.029176761978676333,0.005126953125,9.458801838373974e-06,-0.00032686036330342727,0.9644015158266402
fresh_id,7,0.016320765410303046,0.11293947455615479,0.43108541519129434,6.919986392602509,0.06473286849552842,-0.06473286849552842,0.06473286849552842,0.306884765625,0.007099272118538938,-0.004394634748488016,0.7639312974971271
fresh_id,8,0.01898752867953567,0.15643948584624653,1.0506092159363345,8.239065150951081,0.01910199652195005,-0.01910199652195005,0.033907134416391135,0.138671875,0.0026690865149941382,-0.009693823688866246,1.0843175257906843
fresh_id,9,0.022682472488193613,0.18020912219215773,0.6936504829831787,7.944862372739914,0.12803126806106682,-0.12803126806106696,0.12803126806106696,0.274169921875,0.004746885093745521,-0.006686611494550979,1.0206720017349065
fresh_id,10,0.013274716323099378,0.06775462539922945,0.30051410406693424,5.1040356532010716,0.041743764744161,-0.041743764744161,0.041743764744161,0.2822265625,0.003350890864630703,-0.0018807183945694222,0.6174879380046515
fresh_id,11,0.0291491714069964,0.19907344628072896,0.7433259193265038,6.829471874214141,0.12988418061477966,-0.12988418061477966,0.12988418061477966,0.1923828125,0.0027905565822241266,-0.005967136324521713,0.8922297147339463
fresh_id,12,0.012930702667632615,0.081704662696132,1.1238962049407633,6.31865605421818,0.10208545680198076,0.10208545680198061,0.10208545680198061,0.0,0.0,0.00048535521089400346,0.8991808368590145
fresh_id,13,0.029464721366218933,0.3311200014297473,1.4014212370841805,11.237846009613847,0.12426711044985056,0.12426711044985056,0.12665338900621842,0.290283203125,0.009928689425784764,-0.0038123187895884314,0.5880827158737307
fresh_id,14,0.0176872411668348,0.12405433470201872,0.7333770375820399,7.013775270652836,0.18629598379893586,0.18629598379893586,0.18629598379893586,0.022216796875,0.00020014293164297655,-0.0007233445435209374,0.8893743884664695
fresh_id,15,0.00874182590232201,0.05580950160419779,0.7817428231588827,6.384192756501091,0.009192379021431106,0.00919237902143097,0.024663981250965767,0.0,0.0,0.0005661626233057354,1.0818882494453534
fresh_id,16,0.032880852433058494,0.2843106245694463,1.0612859714243428,8.646692635121578,0.18936216732313726,-0.18936216732313726,0.18936216732313726,0.205810546875,0.004553524957378913,-0.007145610512758319,0.9216194099367699
fresh_id,17,0.021358881632714606,0.16414388289095674,0.8134056896782793,7.685041085650461,0.08088599337533785,-0.08088599337533785,0.08088599337533785,0.232177734375,0.003325150263941778,-0.0063966397948699155,1.4122708432049627
fresh_id,18,0.021737461789554813,0.11640810983623097,0.906993161514914,5.355184103976981,0.18371847480331965,-0.18371847480331951,0.18371847480331951,0.5849609375,0.02498083683685854,-0.004964863288679025,0.6108200629874393
fresh_id,19,0.027013011626438856,0.09706858819715454,1.061892876123051,3.5934011927107425,0.1745918623814868,0.17459186238148658,0.1984083516724577,0.0,0.0,0.0019009449647376525,0.5513096996232352
fresh_id,20,0.018155500976539677,0.13880510976371532,0.5966113852834097,7.645347266543492,0.031868692409116516,-0.031868692409116516,0.031868692409116516,0.197509765625,0.0036725254676582718,-0.008944361612493776,1.1546117759216088
fresh_id,21,0.02655433311273911,0.2085664291268829,0.6170641512924632,7.8543275118751055,0.07811544217868505,-0.07811544217868485,0.07811544217868485,0.070556640625,0.0006228801208255263,-0.005760105936954682,1.0553924591704145
fresh_id,22,0.022082026520009672,0.21970193588286072,0.48818791800538003,9.949355675475589,0.12795996125165587,0.12795996125165587,0.12795996125165587,0.0,0.0,0.0015107080566749836,1.6300569837557788
fresh_id,23,0.057317391545694506,0.22943873539950493,0.919826727640865,4.002951446535945,0.34110351919800813,0.34110351919800813,0.5749675937581423,0.0,0.0,0.003022091656695036,0.3462017872222507
