model,one_step_id_l2,final_id_ar_l2,final_id_mass_error,high_velocity_final_ar_l2,resolution_64_final_ar_l2,resolution_128_final_ar_l2
A,0.02357899803369004,0.17133999759834082,0.08188138694993118,0.4058101757930695,0.14836993479268745,0.14946604323450657
B,0.06352470051806508,0.28847692348151016,0.2567596087405521,0.5518121157493175,0.2428658954644598,0.2434672598170502
C,0.06381087217407896,0.28214607886552506,0.24704562999055754,0.5368697449752617,0.24290056184590694,0.24354647653932782
