model,objective,supervised_fields_full_run,selected_epoch,supervised_fields_selected,id_one_step_l2,id_final_ar_l2,id_mass_error,high_velocity_ar,resolution_64_ar,resolution_128_ar
A,one-step,48000,31,14880,0.02357899803369004,0.17133999759834082,0.08188138694993118,0.4058101757930695,0.14836993479268745,0.14946604323450657
B,rollout K=5,28800,16,23040,0.06352470051806507,0.28847692348151016,0.2567596087405521,0.5518121157493175,0.2428658954644598,0.2434672598170502
C,rollout K=5 + mass lambda=0.01,28800,16,23040,0.06381087217407896,0.28214607886552506,0.24704562999055754,0.5368697449752617,0.24290056184590694,0.24354647653932782
D,one-step,28800,50,24000,0.023739813952303023,0.17409123995857806,0.07040504899608135,0.38715503618185165,0.14159710677205695,0.14265396389453955
